"league","percent","stage","country","rank","region","labels"
"Premier League (England)",15,"Group Stage","England","1","Europe","Premier League (England) 15%"
"Serie A (Italy)",11,"Group Stage","Italy","2","Europe","Serie A (Italy) 11%"
"Bundesliga (Germany)",10,"Group Stage","Germany","3","Europe","Bundesliga (Germany) 10%"
"La Liga (Spain)",8,"Group Stage","Spain","4","Europe","La Liga (Spain) 8%"
"Ligue 1 (France)",6,"Group Stage","France","5","Europe","Ligue 1 (France) 6%"
"Premier League (Russia)",5,"Group Stage","Russia","6","Europe","Premier League (Russia) 5%"
"Liga MX (Mexico)",3,"Group Stage","Mexico","7","North America","Liga MX (Mexico) 3%"
"Super Lig (Turkey)",3,"Group Stage","Turkey","8","Europe","Super Lig (Turkey) 3%"
"Primeira Liga (Portugal)",3,"Group Stage","Portugal","9","Europe","Primeira Liga (Portugal) 3%"
"Major League Soccer (U.S.)",3,"Group Stage","U.S.","10","North America","Major League Soccer (U.S.) 3%"
"Premier League (England)",16,"Round of 16","England","1","Europe","Premier League (England) 16%"
"Serie A (Italy)",12,"Round of 16","Italy","2","Europe","Serie A (Italy) 12%"
"Bundesliga (Germany)",11,"Round of 16","Germany","3","Europe","Bundesliga (Germany) 11%"
"La Liga (Spain)",10,"Round of 16","Spain","4","Europe","La Liga (Spain) 10%"
"Ligue 1 (France)",6,"Round of 16","France","5","Europe","Ligue 1 (France) 6%"
"Liga MX (Mexico)",5,"Round of 16","Mexico","6","North America","Liga MX (Mexico) 5%"
"Eredivisie (Netherlands)",4,"Round of 16","Netherlands","7","Europe","Eredivisie (Netherlands) 4%"
"Major League Soccer (U.S.)",4,"Round of 16","U.S.","8","North America","Major League Soccer (U.S.) 4%"
"Primeira Liga (Portugal)",4,"Round of 16","Portugal","9","Europe","Primeira Liga (Portugal) 4%"
"Superleague (Greece)",3,"Round of 16","Greece","10","Europe","Superleague (Greece) 3%"
"Premier League (England)",22,"Quarterfinals","England","1","Europe","Premier League (England) 22%"
"Bundesliga (Germany)",14,"Quarterfinals","Germany","2","Europe","Bundesliga (Germany) 14%"
"Serie A (Italy)",11,"Quarterfinals","Italy","3","Europe","Serie A (Italy) 11%"
"Ligue 1 (France)",9,"Quarterfinals","France","4","Europe","Ligue 1 (France) 9%"
"La Liga (Spain)",8,"Quarterfinals","Spain","5","Europe","La Liga (Spain) 8%"
"Eredivisie (Netherlands)",7,"Quarterfinals","Netherlands","6","Europe","Eredivisie (Netherlands) 7%"
"Primera Division (Costa Rica)",5,"Quarterfinals","Costa Rica","7","North America","Primera Division (Costa Rica) 5%"
"Primera Division (Argentina)",4,"Quarterfinals","Argentina","8","South America","Primera Division (Argentina) 4%"
"Primeira Liga (Portugal)",4,"Quarterfinals","Portugal","9","Europe","Primeira Liga (Portugal) 4%"
"Serie A (Brazil)",2,"Quarterfinals","Brazil","10","South America","Serie A (Brazil) 2%"
"Bundesliga (Germany)",23,"Semifinals","Germany","1","Europe","Bundesliga (Germany) 23%"
"Premier League (England)",21,"Semifinals","England","2","Europe","Premier League (England) 21%"
"Serie A (Italy)",14,"Semifinals","Italy","3","Europe","Serie A (Italy) 14%"
"Eredivisie (Netherlands)",11,"Semifinals","Netherlands","4","Europe","Eredivisie (Netherlands) 11%"
"La Liga (Spain)",9,"Semifinals","Spain","5","Europe","La Liga (Spain) 9%"
"Serie A (Brazil)",4,"Semifinals","Brazil","6","South America","Serie A (Brazil) 4%"
"Ligue 1 (France)",4,"Semifinals","France","7","Europe","Ligue 1 (France) 4%"
"Primera Division (Argentina)",3,"Semifinals","Argentina","8","South America","Primera Division (Argentina) 3%"
"Primeira Liga (Portugal)",3,"Semifinals","Portugal","9","Europe","Primeira Liga (Portugal) 3%"
"Premier League (Ukraine)",2,"Semifinals","Ukraine","10","Europe","Premier League (Ukraine) 2%"
"Bundesliga (Germany)",35,"Finals","Germany","1","Europe","Bundesliga (Germany) 35%"
"Serie A (Italy)",20,"Finals","Italy","2","Europe","Serie A (Italy) 20%"
"Premier League (England)",15,"Finals","England","3","Europe","Premier League (England) 15%"
"La Liga (Spain)",11,"Finals","Spain","4","Europe","La Liga (Spain) 11%"
"Primeira Liga (Portugal)",7,"Finals","Portugal","5","Europe","Primeira Liga (Portugal) 7%"
"Primera Division (Argentina)",7,"Finals","Argentina","6","South America","Primera Division (Argentina) 7%"
"Ligue 1 (France)",4,"Finals","France","7","Europe","Ligue 1 (France) 4%"
"Liga MX (Mexico)",2,"Finals","Mexico","8","North America","Liga MX (Mexico) 2%"
